_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,cannot_decide_reason,sim_score,sim_score:variance,a,b,cannot_decide_reason_gold,cluster_a,cluster_b,id_a,id_b,lemma,sim_score_gold,time_a,time_b
2540617972,false,finalized,5,11/13/2019 17:50:08,,2.2,0.98,"undead be born . [[virus]] can not be traced to rotten meat , obscene sexual rite of autumnal haystack , nor the french itch . maybe the devil have made this devil thing .","crack at the tests - - different ones , of course . he was under the weather when he took them the first time - - tail end of some [[virus]] business . he did n ' t miss by much , and the appeal board made a special ruling .",,0,0,1,3,virus,,1970-80,1950-60
2540617973,false,finalized,5,11/13/2019 17:36:12,,2.0,0.894,"solomon ' s software , recently acquired by data - fellows , offers a pair of virus scanners : dr . solomon ' s anti - [[virus]] deluxe for windows 95 / nt and dr . solomon ' s virex for the macintosh os .","public health service experts . advocates of live - [[virus]] vaccines maintain that their preparations , taken in one or three doses , confer immunity in 90 % or more of the vaccinated , as measured by laboratory tests of blood antibodies against polio viruses . but do the oral vaccines really give such a high proportional protection against paralysis ?",,0,1,4,8,virus,,1990-00,1950-60
2540617974,false,finalized,5,11/13/2019 18:19:30,,2.0,1.265,beer . the [[leaf]] clan man let his eyes drift from chee to study the police car . he gestured vaguely toward the other man .,"- inch brick wall carrying a load of 12 , 000 pounds per running foot is to be placed on a soft , wet soil where the unit pressure can not be relied on for more than 2 , 000 pounds per square foot . what must be the spacing of 10 - by 12 - inch footing timbers of long - [[leaf]] yellow pine ? figure | this shows that the beams must be spaced 56 .",,8,8,31,32,leaf,,1970-80,1930-40
2540617975,false,finalized,5,11/13/2019 17:35:15,,2.6,0.8,"other crops , such as wheat and alfalfa , prefer a fairly compact seed bed ; hence , frequent harrowing and crops . nevertheless , it pays to plow the land for them , even if we have to [[compact]] it again before seeding . the plowing aerates the soil and helps to set plant food free .",catherine sits quietly listening . if he kept that [[compact]] know what i ' d ask him first ? if our work goes on .,,2,3,14,15,compact,,1990-00,1910-20
2540617976,false,finalized,5,11/13/2019 17:35:47,,2.8,0.4,"filled the air , obscuring his vision , and the screeching whine of the jack filled the cavern , drowning out all other sounds as it burrowed centimeter by agonizing centimeter into the thick vein of cortosis woven into the rock before him . impervious to both heat and [[energy]] , cortosis was prized in the construction of armor and shielding by both commercial and military interests , especially with the galaxy at war . highly resistant to blaster bolts , cortosis alloys supposedly could withstand even the blade of a lightsaber ."," he was bitten . after 14 years in the house , gore handily won the senate seat of aging kenneth mckellar in 1952 , soon won choice assignments on the finance , foreign relations and joint atomic [[energy]] committees . he was the senate ' s chief sponsor of the 1956 bill creating the interstate highway system , then killed eisenhower ' s plan for bond financing and substituted his own pay - as - you - go tax system .",,0,1,4,8,energy,,1990-00,1950-60
2540617977,false,finalized,5,11/13/2019 17:53:04,,1.8,0.98,i certainly should not . such a selection is good to [[leaf]] over . your thought may be kindled or fanned here and there .,"the boy felt hope piercing into him like one of the beams of sunlight that were cutting through house . the [[leaf]] had been turned over at last . the light of the sun passed on then , and he waited for the wrath of his father to burst out .",,2,8,25,34,leaf,,1910-20,1990-00
2540617978,false,finalized,5,11/13/2019 17:35:57,,3.2,0.4,fight had been expected . police and [[federal]] operatives felt relieved today that kelly had been captured without the loss of a life . it had been expected that he would resist unto the last bullet .,"standard . sikeston ' s "" pole cat "" is editor charles blanton himself , a salty , 75 - year - old veteran of small - town journalism whose son henry is [[federal]] district attorney in st . louis , whose daughter , catherine , is senator pat harrison ' s secretary in washington .",,8,3,2,27,federal,,1930-40,1930-40
2540617979,false,finalized,5,11/13/2019 17:23:12,,2.0,0.894,"he stood on the platform , burdened with his suitcases and gifts , and watched the train roll in on the station tracks . he found himself a seat in the day [[coach]] and hoisted his luggage on the rack above his head . the car was crowded , for the most part with mothers and children .","we just have to get it done . "" no - billed - in five seasons as cleveland ' s head coach and through nine games as new england ' s head [[coach]] , bill belichick has a 39 - 52 record . .",,1,0,2,9,coach,,1930-40,1990-00
2540617980,false,finalized,5,11/13/2019 17:52:08,,1.8,0.98,"wood lends itself readily to colonial designs and to the characteristic types english types , or the houses of southern europe with their tile roofs and iron balconies . [[brick]] suggests charming english cottages , colonial houses , and whitewashed french cottages . one of the most necessary steps in developing the design of the house is to learn how the owners live , because the exterior must express the plan of the house , and the plan depends on how the people who live in it like to spend their","then suddenly it hit me that she must be talking to raiding back doors . i wanted to pick up a [[brick]] and throw it right through that nice , clean , shining window , past the nice , white , lace curtains , and crack her skull with it . i even thought how thin her skull looked , the skin on it blued like watered milk , and what that rattling voice would sound like in a scream .",,0,1,2,7,brick,,1930-40,1930-40
2540617981,false,finalized,5,11/13/2019 17:26:55,,2.4,0.49," one may day last year , yale ' s ten brightest seniors sat in connecticut hall scribbling answers to a harvard english examination . they could smoke , but honor bound them not to speak , peer or [[signal]] . at the same time harvard ' s "" ten brightest "" took the same examination under like conditions in cambridge .","there were about three hundred guests and countless people jammed the balconies . the menu bore a likeness of marconi at the historic hour when he received the first transatlantic [[signal]] and the dinner wound up with ices , each bearing an icicle telegraph pole . whoops of glee and cries of "" frozen out !",,2,0,5,13,signal,,1910-20,1950-60
